EngineCoolantTemperature;EngineLoad;RPM;IntakeManifoldPressure;MassAirFlow;IntakeAirTemperature;Speed;ShortTermFuelTrimBank1;ThrottlePosition;TimingAdvance
88;35,3;805;32;4,02;36;0;-0,023;20;0,549
88;34,9;807;32;3,81;36;0;-0,023;20;0,573
88;34,5;812;32;3,75;36;0;-0,023;20;0,557
88;38;789;30;4,1;36;0;-0,023;20,4;0,573
89;33,7;810;33;3,89;36;0;0,039;20;0,596
89;37,6;800;33;3,98;36;0;0,023;20;0,569
89;35,7;807;31;4,02;36;0;0,016;20;0,576
90;34,1;800;32;3,79;36;0;0,023;20;0,565
90;34,5;806;30;4,07;36;0;0,016;20;0,557
91;33,7;803;47;3,84;36;0;0,023;20;0,569
91;71,8;795;44;5,59;35;12;0,031;18,8;0,6
91;35,7;2300;65;6,54;34;24;0,047;23,9;0,702
92;72,9;2296;24;25,72;34;35;-0,062;35,3;0,682
92;71,8;1775;68;17,89;34;40;0,031;32,5;0,69
92;67,5;2017;59;19,13;34;43;-0,008;32,9;0,678
93;59,6;2219;19;17,55;34;41;-0,031;32,2;0,69
93;17,6;1752;22;4,55;34;27;0;22;0,635
93;18,4;1294;33;3,45;34;27;0,133;20,4;0,62
93;48,6;1394;23;9,87;34;31;0,062;29;0,682
93;18;1497;20;3,9;34;30;0,156;21,6;0,667
93;38,8;1459;41;8,07;34;32;0,086;27,1;0,706
93;47,5;1670;53;11,52;34;40;-0,047;29,8;0,71
93;65,1;2086;19;20,37;34;46;0;33,3;0,682
93;18,8;1551;21;3,69;34;33;0;21,6;0,737
93;20;980;23;2,95;35;28;-0,008;18,4;0,624
93;24,3;963;24;3,29;36;28;0,031;18,8;0,604
93;29;798;38;3,38;36;16;-0,039;19,6;0,651
93;41,6;782;32;4,48;36;10;-0,023;20,8;0,51
93;32,2;814;32;3,61;36;5;-0,055;19,2;0,576
93;37,3;782;31;4,01;36;7;-0,055;20,4;0,588
93;47,8;741;42;4,86;36;16;-0,039;22,4;0,643
94;42,7;1541;28;9,68;35;24;0,031;28,2;0,655
94;21,6;1893;34;4,86;35;27;0,086;22;0,722
94;67,8;1403;47;15,02;34;34;-0,062;31,8;0,667
94;50,2;1747;51;12,74;34;38;-0,031;30,2;0,702
95;80,4;2018;20;24,02;34;46;0;34,9;0,671
95;27,8;1597;35;11;34;46;-0,031;30,2;0,655
95;38,4;2281;44;14,26;34;47;0;31;0,737
95;53,3;2365;19;18,61;34;48;-0,031;32,5;0,718
95;16,5;1185;36;3,7;35;46;-0,023;18,4;0,584
95;47,1;1258;19;8,32;35;44;0,039;27,1;0,624
95;36,5;1199;21;6,44;35;40;0,047;23,1;0,675
95;18,8;1020;66;2,92;35;38;0;18,8;0,592
95;29,4;1169;88;2,41;35;41;0,086;20,4;0,608
95;100;1470;52;22,01;34;50;0,055;35,7;0,565
95;73,7;1700;23;18,79;34;53;-0,031;32,9;0,667
95;18;1719;47;4,54;34;51;0,031;22,4;0,635
94;51,8;1706;19;10,73;34;48;0;29,4;0,69
94;35,3;1610;21;8,31;35;46;0;25,9;0,729
94;18;1520;21;4,35;35;44;0;21,6;0,62
94;43,5;1495;19;9,33;35;45;0,062;27,8;0,702
93;41,6;1512;20;9,32;35;33;0,047;27,8;0,71
93;19,6;1004;30;2,81;36;21;-0,062;18;0,608
93;37,6;764;32;3,85;36;5;0,039;20;0,576
93;35,7;793;30;4,06;36;2;0,008;20;0,573
93;36,5;781;32;4,03;36;0;0,047;20;0,58
93;80,4;1016;26;10,94;36;5;-0,039;27,1;0,537
93;35,7;802;33;4,01;36;0;-0,016;20;0,592
93;38,4;789;31;3,86;36;0;-0,055;20,4;0,573
94;35,7;798;33;3,97;37;0;-0,047;20;0,6
94;35,7;794;30;4,14;37;0;-0,023;20,4;0,635
94;35,7;796;32;3,89;37;0;-0,023;20;0,58
95;36,1;783;33;4,3;36;2;-0,016;20,4;0,573
95;55,3;946;50;9,57;35;13;-0,016;28,6;0,631
